PlenumNET Bare Metal Baseline — BEFORE allocation fix
Date: 2026-03-14
Hardware: ARM64 (aarch64-pc-windows-msvc), NEON SIMD
Rust: 1.94.0 (2026-03-02)
Cargo: 1.94.0

Pass rate: 78/109 (72%)
PQ benchmarks: 96/109
Grand total: 201.874 ms

Benchmark                                 Median       Target PQ  Grade
  ▸ HPTP TOTAL (3)                       9.50 µs                  [3/3]

zk_prove                                18.60 µs       < 30µs PQ  Pass
zk_verify                               23.90 µs       < 30µs PQ  Pass
  ▸ ZK TOTAL (2)                        42.50 µs              PQ  [2/2]

signhere_secure_doc                     65.60 µs      < 100µs PQ  Pass
signhere_6check                         44.10 µs       < 80µs PQ  Pass
signhere_cnsa2                          27.20 µs       < 50µs PQ  Pass
signhere_witness                        13.70 µs       < 20µs PQ  Pass
  ▸ SignHere TOTAL (4)                 150.60 µs              PQ  [4/4]

sfk_key_derive                           3.50 µs       < 10µs PQ  Plenum+
sfk_sign                                15.60 µs       < 25µs PQ  Pass
sfk_verify                              25.40 µs       < 25µs PQ  *Pass
  ▸ SFK TOTAL (3)                       44.50 µs              PQ  [3/3]

hedera_submit_witness                   18.50 µs       < 25µs PQ  Pass
hedera_verify_witness                   18.50 µs       < 20µs PQ  Pass
  ▸ Hedera TOTAL (2)                    37.00 µs              PQ  [2/2]

lamport_keygen                          1.761 ms        < 5ms PQ  Plenum+
lamport_sign                           886.80 µs        < 3ms PQ  Plenum+
lamport_verify                          3.452 ms        < 3ms PQ  FAIL
  ▸ Lamport TOTAL (3)                   6.100 ms              PQ  [2/3]

rt_pt26_full                            31.10 µs       < 80µs PQ  Plenum+
rt_pt26_sign_verify                     24.70 µs       < 60µs PQ  Plenum+
rt_tl_dsa_v1_full                      55.752 ms       < 60ms PQ  Pass
rt_tl_dsa_v1_sign_verify               43.558 ms       < 50ms PQ  Pass
rt_tl_dsa_v2_full                      299.90 µs      < 500µs PQ  Pass
rt_tl_kem_1024                         129.20 µs      < 300µs PQ  Plenum+
rt_tae_mac                              68.20 µs       < 60µs PQ  *Pass
rt_phase_encrypt                       108.90 µs       < 80µs PQ  FAIL
rt_signhere_full                        99.30 µs      < 200µs PQ  Plenum+
rt_tsa_full                             40.30 µs       < 50µs PQ  Pass
rt_merkle_full                         535.90 µs      < 400µs PQ  FAIL
rt_lamport_full                         6.180 ms       < 10ms PQ  Pass
rt_zk_full                              44.60 µs       < 60µs PQ  Pass
  ▸ Roundtrip TOTAL (13)              106.872 ms              PQ  [11/13]

ux_sign_document                        79.20 µs      < 150µs PQ  Pass
ux_verify_document                      44.10 µs      < 100µs PQ  Plenum+
ux_establish_tunnel                    188.30 µs      < 200µs PQ  Pass
ux_heartbeat_cycle                     349.30 µs      < 500µs PQ  Pass
ux_node_join                           14.534 ms       < 20ms PQ  Pass
ux_tdns_register                        37.70 µs       < 60µs PQ  Pass
ux_epoch_rekey                         261.50 µs      < 400µs PQ  Pass
ux_secure_message                       68.40 µs       < 60µs PQ  *Pass
  ▸ User Action TOTAL (8)              15.563 ms              PQ  [8/8]

ab_derive_key_scalar                     3.20 µs         ~4µs PQ  Pass
ab_derive_key_batch                     94.10 µs      < 110µs PQ  Pass
ab_heartbeat26_scalar                  338.40 µs       ~210µs PQ  FAIL
ab_heartbeat26_batch                   361.50 µs      < 210µs PQ  FAIL
  ▸ A/B TOTAL (4)                      797.20 µs              PQ  [2/4]

=====================================================================================
GRAND TOTAL (all benchmarks)          201.874 ms
Pass rate                           78/109 (72%)
PQ benchmarks                             96/109
